Figuras	- Origem
1 	http://www.brasilescola.com/quimica/teoria-octeto.htm
2	http://www.brasilescola.com/quimica/teoria-octeto.htm
3	http://educacao.uol.com.br/quimica/ult1707u20.jhtm
4	http://amora2008cerebro.pbworks.com/Para-que-serve-os-neuronios
5	http://marciocandiani.site.med.br/index.asp?PageName=Mem-F3ria-20-2D-20as-20novas-20descobertas-20da-20Neuroci-EAncia
6	http://luisamoreira.blogspot.com/
7	http://neurostudents.blogspot.com/2010/04/mais-potencial-de-acao.html
8	Adaptado do livro-texto "EEG Signal Processing"
9	Adaptado do livro-texto "EEG Signal Processing"

